========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time
    63        SUCCESS        3            63        479.99        0.3        480.29
    228        SUCCESS        3            63        479.99        0.3        480.29
    393        SUCCESS        3            63        479.99        0.3        480.29
    68        SUCCESS        3            68        479.99        0.3        480.29
    233        SUCCESS        3            68        479.99        0.3        480.29
    398        SUCCESS        3            68        479.99        0.3        480.29
    73        SUCCESS        3            73        479.99        0.3        480.29
    238        SUCCESS        3            73        479.99        0.3        480.29
    403        SUCCESS        3            73        479.99        0.3        480.29
    78        SUCCESS        3            78        479.99        0.3        480.29
    243        SUCCESS        3            78        479.99        0.3        480.29
    408        SUCCESS        3            78        479.99        0.3        480.29
    83        SUCCESS        3            83        479.99        0.3        480.29
    248        SUCCESS        3            83        479.99        0.3        480.29
    413        SUCCESS        3            83        479.99        0.3        480.29
    88        SUCCESS        3            88        479.99        0.3        480.29
    253        SUCCESS        3            88        479.99        0.3        480.29
    418        SUCCESS        3            88        479.99        0.3        480.29
    93        SUCCESS        3            93        479.99        0.3        480.29
    258        SUCCESS        3            93        479.99        0.3        480.29
    423        SUCCESS        3            93        479.99        0.3        480.29
    98        SUCCESS        3            98        479.99        0.3        480.29
    263        SUCCESS        3            98        479.99        0.3        480.29
    428        SUCCESS        3            98        479.99        0.3        480.29
    103        SUCCESS        3            103        479.99        0.3        480.29
    268        SUCCESS        3            103        479.99        0.3        480.29
    433        SUCCESS        3            103        479.99        0.3        480.29
    108        SUCCESS        3            108        479.99        0.3        480.29
    273        SUCCESS        3            108        479.99        0.3        480.29
    438        SUCCESS        3            108        479.99        0.3        480.29
    59        SUCCESS        3            59        479.99        0.3        480.29
    224        SUCCESS        3            59        479.99        0.3        480.29
    389        SUCCESS        3            59        479.99        0.3        480.29
    64        SUCCESS        3            64        479.99        0.3        480.29
    229        SUCCESS        3            64        479.99        0.3        480.29
    394        SUCCESS        3            64        479.99        0.3        480.29
    69        SUCCESS        3            69        479.99        0.3        480.29
    234        SUCCESS        3            69        479.99        0.3        480.29
    399        SUCCESS        3            69        479.99        0.3        480.29
    74        SUCCESS        3            74        479.99        0.3        480.29
    239        SUCCESS        3            74        479.99        0.3        480.29
    404        SUCCESS        3            74        479.99        0.3        480.29
    79        SUCCESS        3            79        479.99        0.3        480.29
    244        SUCCESS        3            79        479.99        0.3        480.29
    409        SUCCESS        3            79        479.99        0.3        480.29
    84        SUCCESS        3            84        479.99        0.3        480.29
    249        SUCCESS        3            84        479.99        0.3        480.29
    414        SUCCESS        3            84        479.99        0.3        480.29
    89        SUCCESS        3            89        479.99        0.3        480.29
    254        SUCCESS        3            89        479.99        0.3        480.29
    419        SUCCESS        3            89        479.99        0.3        480.29
    94        SUCCESS        3            94        479.99        0.3        480.29
    259        SUCCESS        3            94        479.99        0.3        480.29
    424        SUCCESS        3            94        479.99        0.3        480.29
    99        SUCCESS        3            99        479.99        0.3        480.29
    264        SUCCESS        3            99        479.99        0.3        480.29
    429        SUCCESS        3            99        479.99        0.3        480.29
    104        SUCCESS        3            104        479.99        0.3        480.29
    269        SUCCESS        3            104        479.99        0.3        480.29
    434        SUCCESS        3            104        479.99        0.3        480.29
    109        SUCCESS        3            109        479.99        0.3        480.29
    274        SUCCESS        3            109        479.99        0.3        480.29
    439        SUCCESS        3            109        479.99        0.3        480.29
    110        SUCCESS        4            110        479.99        0.3        480.29
    275        SUCCESS        4            110        479.99        0.3        480.29
    440        SUCCESS        4            110        479.99        0.3        480.29
    115        SUCCESS        4            115        479.99        0.3        480.29
    280        SUCCESS        4            115        479.99        0.3        480.29
    445        SUCCESS        4            115        479.99        0.3        480.29
    120        SUCCESS        4            120        479.99        0.3        480.29
    285        SUCCESS        4            120        479.99        0.3        480.29
    450        SUCCESS        4            120        479.99        0.3        480.29
    125        SUCCESS        4            125        479.99        0.3        480.29
    290        SUCCESS        4            125        479.99        0.3        480.29
    455        SUCCESS        4            125        479.99        0.3        480.29
    130        SUCCESS        4            130        479.99        0.3        480.29
    295        SUCCESS        4            130        479.99        0.3        480.29
    460        SUCCESS        4            130        479.99        0.3        480.29
    135        SUCCESS        4            135        479.99        0.3        480.29
    300        SUCCESS        4            135        479.99        0.3        480.29
    465        SUCCESS        4            135        479.99        0.3        480.29
    140        SUCCESS        4            140        479.99        0.3        480.29
    305        SUCCESS        4            140        479.99        0.3        480.29
    470        SUCCESS        4            140        479.99        0.3        480.29
    145        SUCCESS        4            145        479.99        0.3        480.29
    310        SUCCESS        4            145        479.99        0.3        480.29
    475        SUCCESS        4            145        479.99        0.3        480.29
    150        SUCCESS        4            150        479.99        0.3        480.29
    315        SUCCESS        4            150        479.99        0.3        480.29
    480        SUCCESS        4            150        479.99        0.3        480.29
    155        SUCCESS        4            155        479.99        0.3        480.29
    320        SUCCESS        4            155        479.99        0.3        480.29
    485        SUCCESS        4            155        479.99        0.3        480.29
    160        SUCCESS        4            160        479.99        0.3        480.29
    325        SUCCESS        4            160        479.99        0.3        480.29
    490        SUCCESS        4            160        479.99        0.3        480.29
    111        SUCCESS        4            111        479.99        0.3        480.29
    276        SUCCESS        4            111        479.99        0.3        480.29
    441        SUCCESS        4            111        479.99        0.3        480.29
    116        SUCCESS        4            116        479.99        0.3        480.29
    281        SUCCESS        4            116        479.99        0.3        480.29
    446        SUCCESS        4            116        479.99        0.3        480.29
    121        SUCCESS        4            121        479.99        0.3        480.29
    286        SUCCESS        4            121        479.99        0.3        480.29
    451        SUCCESS        4            121        479.99        0.3        480.29
    126        SUCCESS        4            126        479.99        0.3        480.29
    291        SUCCESS        4            126        479.99        0.3        480.29
    456        SUCCESS        4            126        479.99        0.3        480.29
    131        SUCCESS        4            131        479.99        0.3        480.29
    296        SUCCESS        4            131        479.99        0.3        480.29
    461        SUCCESS        4            131        479.99        0.3        480.29
    136        SUCCESS        4            136        479.99        0.3        480.29
    301        SUCCESS        4            136        479.99        0.3        480.29
    466        SUCCESS        4            136        479.99        0.3        480.29
    141        SUCCESS        4            141        479.99        0.3        480.29
    306        SUCCESS        4            141        479.99        0.3        480.29
    471        SUCCESS        4            141        479.99        0.3        480.29
    146        SUCCESS        4            146        479.99        0.3        480.29
    311        SUCCESS        4            146        479.99        0.3        480.29
    476        SUCCESS        4            146        479.99        0.3        480.29
    151        SUCCESS        4            151        479.99        0.3        480.29
    316        SUCCESS        4            151        479.99        0.3        480.29
    481        SUCCESS        4            151        479.99        0.3        480.29
    156        SUCCESS        4            156        479.99        0.3        480.29
    321        SUCCESS        4            156        479.99        0.3        480.29
    486        SUCCESS        4            156        479.99        0.3        480.29
    161        SUCCESS        4            161        479.99        0.3        480.29
    326        SUCCESS        4            161        479.99        0.3        480.29
    491        SUCCESS        4            161        479.99        0.3        480.29
    112        SUCCESS        4            112        479.99        0.3        480.29
    277        SUCCESS        4            112        479.99        0.3        480.29
    442        SUCCESS        4            112        479.99        0.3        480.29
    117        SUCCESS        4            117        479.99        0.3        480.29
    282        SUCCESS        4            117        479.99        0.3        480.29
    447        SUCCESS        4            117        479.99        0.3        480.29
    122        SUCCESS        4            122        479.99        0.3        480.29
    287        SUCCESS        4            122        479.99        0.3        480.29
    452        SUCCESS        4            122        479.99        0.3        480.29
    127        SUCCESS        4            127        479.99        0.3        480.29
    292        SUCCESS        4            127        479.99        0.3        480.29
    457        SUCCESS        4            127        479.99        0.3        480.29
    132        SUCCESS        4            132        479.99        0.3        480.29
    297        SUCCESS        4            132        479.99        0.3        480.29
    462        SUCCESS        4            132        479.99        0.3        480.29
    137        SUCCESS        4            137        479.99        0.3        480.29
    302        SUCCESS        4            137        479.99        0.3        480.29
    467        SUCCESS        4            137        479.99        0.3        480.29
    142        SUCCESS        4            142        479.99        0.3        480.29
    307        SUCCESS        4            142        479.99        0.3        480.29
    472        SUCCESS        4            142        479.99        0.3        480.29
    147        SUCCESS        4            147        479.99        0.3        480.29
    312        SUCCESS        4            147        479.99        0.3        480.29
    477        SUCCESS        4            147        479.99        0.3        480.29
    152        SUCCESS        4            152        479.99        0.3        480.29
    317        SUCCESS        4            152        479.99        0.3        480.29
    482        SUCCESS        4            152        479.99        0.3        480.29
    157        SUCCESS        4            157        479.99        0.3        480.29
    322        SUCCESS        4            157        479.99        0.3        480.29
    487        SUCCESS        4            157        479.99        0.3        480.29
    162        SUCCESS        4            162        479.99        0.3        480.29
    327        SUCCESS        4            162        479.99        0.3        480.29
    492        SUCCESS        4            162        479.99        0.3        480.29
    113        SUCCESS        4            113        479.99        0.3        480.29
    278        SUCCESS        4            113        479.99        0.3        480.29
    443        SUCCESS        4            113        479.99        0.3        480.29
    118        SUCCESS        4            118        479.99        0.3        480.29
    283        SUCCESS        4            118        479.99        0.3        480.29
    448        SUCCESS        4            118        479.99        0.3        480.29
    123        SUCCESS        4            123        479.99        0.3        480.29
    288        SUCCESS        4            123        479.99        0.3        480.29
    453        SUCCESS        4            123        479.99        0.3        480.29
    128        SUCCESS        4            128        479.99        0.3        480.29
    293        SUCCESS        4            128        479.99        0.3        480.29
    458        SUCCESS        4            128        479.99        0.3        480.29
    133        SUCCESS        4            133        479.99        0.3        480.29
    298        SUCCESS        4            133        479.99        0.3        480.29
    463        SUCCESS        4            133        479.99        0.3        480.29
    138        SUCCESS        4            138        479.99        0.3        480.29
    303        SUCCESS        4            138        479.99        0.3        480.29
    468        SUCCESS        4            138        479.99        0.3        480.29
    143        SUCCESS        4            143        479.99        0.3        480.29
    308        SUCCESS        4            143        479.99        0.3        480.29
    473        SUCCESS        4            143        479.99        0.3        480.29
    148        SUCCESS        4            148        479.99        0.3        480.29
    313        SUCCESS        4            148        479.99        0.3        480.29
    478        SUCCESS        4            148        479.99        0.3        480.29
    153        SUCCESS        4            153        479.99        0.3        480.29
    318        SUCCESS        4            153        479.99        0.3        480.29
    483        SUCCESS        4            153        479.99        0.3        480.29
    158        SUCCESS        4            158        479.99        0.3        480.29
    323        SUCCESS        4            158        479.99        0.3        480.29
    488        SUCCESS        4            158        479.99        0.3        480.29
    163        SUCCESS        4            163        479.99        0.3        480.29
    328        SUCCESS        4            163        479.99        0.3        480.29
    493        SUCCESS        4            163        479.99        0.3        480.29
    114        SUCCESS        4            114        479.99        0.3        480.29
    279        SUCCESS        4            114        479.99        0.3        480.29
    444        SUCCESS        4            114        479.99        0.3        480.29
    119        SUCCESS        4            119        479.99        0.3        480.29
    284        SUCCESS        4            119        479.99        0.3        480.29
    449        SUCCESS        4            119        479.99        0.3        480.29
    124        SUCCESS        4            124        479.99        0.3        480.29
    289        SUCCESS        4            124        479.99        0.3        480.29
    454        SUCCESS        4            124        479.99        0.3        480.29
    129        SUCCESS        4            129        479.99        0.3        480.29
    294        SUCCESS        4            129        479.99        0.3        480.29
    459        SUCCESS        4            129        479.99        0.3        480.29
    134        SUCCESS        4            134        479.99        0.3        480.29
    299        SUCCESS        4            134        479.99        0.3        480.29
    464        SUCCESS        4            134        479.99        0.3        480.29
    139        SUCCESS        4            139        479.99        0.3        480.29
    304        SUCCESS        4            139        479.99        0.3        480.29
    469        SUCCESS        4            139        479.99        0.3        480.29
    144        SUCCESS        4            144        479.99        0.3        480.29
    309        SUCCESS        4            144        479.99        0.3        480.29
    474        SUCCESS        4            144        479.99        0.3        480.29
    149        SUCCESS        4            149        479.99        0.3        480.29
    314        SUCCESS        4            149        479.99        0.3        480.29
    479        SUCCESS        4            149        479.99        0.3        480.29
    154        SUCCESS        4            154        479.99        0.3        480.29
    319        SUCCESS        4            154        479.99        0.3        480.29
    484        SUCCESS        4            154        479.99        0.3        480.29
    159        SUCCESS        4            159        479.99        0.3        480.29
    324        SUCCESS        4            159        479.99        0.3        480.29
    489        SUCCESS        4            159        479.99        0.3        480.29
    164        SUCCESS        4            164        479.99        0.3        480.29
    329        SUCCESS        4            164        479.99        0.3        480.29
    494        SUCCESS        4            164        479.99        0.3        480.29
    0        SUCCESS        2            0        639.99        0.3        640.29
    165        SUCCESS        2            0        639.99        0.3        640.29
    330        SUCCESS        2            0        639.99        0.3        640.29
    495        SUCCESS        2            0        639.99        0.3        640.29
    1        SUCCESS        2            1        639.99        0.3        640.29
    166        SUCCESS        2            1        639.99        0.3        640.29
    331        SUCCESS        2            1        639.99        0.3        640.29
    496        SUCCESS        2            1        639.99        0.3        640.29
    2        SUCCESS        2            2        639.99        0.3        640.29
    167        SUCCESS        2            2        639.99        0.3        640.29
    332        SUCCESS        2            2        639.99        0.3        640.29
    497        SUCCESS        2            2        639.99        0.3        640.29
    3        SUCCESS        2            3        639.99        0.3        640.29
    168        SUCCESS        2            3        639.99        0.3        640.29
    333        SUCCESS        2            3        639.99        0.3        640.29
    498        SUCCESS        2            3        639.99        0.3        640.29
    4        SUCCESS        2            4        639.99        0.3        640.29
    169        SUCCESS        2            4        639.99        0.3        640.29
    334        SUCCESS        2            4        639.99        0.3        640.29
    499        SUCCESS        2            4        639.99        0.3        640.29
Q Learning Scheduliung Test Finished.
