========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    BWCost    CPUCost
    243        SUCCESS        3            10        0.3        23.58        36.69            47            6.56
    208        SUCCESS        4            27        0.3        26.01        36.91            49            9.81
    196        SUCCESS        4            64        0.3        27.2        37.55            38.6            9.31
    40        SUCCESS        2            2        0.3        0.3        37.57            31.4            11.18
    173        SUCCESS        4            61        0.3        30.1        37.67            50.6            6.82
    156        SUCCESS        4            54        0.3        33.9        38.06            16.9            3.74
    152        SUCCESS        4            22        0.3        30.65        38.17            47.3            6.77
    124        SUCCESS        4            33        0.3        29.84        38.17            24.2            7.5
    240        SUCCESS        4            43        0.3        29.15        38.28            53.5            8.22
    197        SUCCESS        4            56        0.3        30.9        38.28            28.2            6.64
    255        SUCCESS        4            30        0.3        31.25        38.39            25.3            6.43
    287        SUCCESS        4            48        0.3        34.13        38.64            44.9            4.06
    272        SUCCESS        4            58        0.3        28.16        38.97            30            9.74
    256        SUCCESS        4            25        0.3        27.6        39.08            31.8            10.33
    297        SUCCESS        4            31        0.3        34.24        39.34            19            4.59
    146        SUCCESS        4            24        0.3        27.2        39.58            23.4            11.14
    223        SUCCESS        4            28        0.3        31.85        39.98            42.8            7.32
    201        SUCCESS        4            35        0.3        30.1        40.44            26            9.31
    253        SUCCESS        4            52        0.3        34.46        40.83            13.7            5.73
    238        SUCCESS        4            36        0.3        34.24        41.16            39.1            6.23
    252        SUCCESS        4            55        0.3        32.51        41.57            29.9            8.15
    241        SUCCESS        4            20        0.3        35.12        41.79            20.3            6
    274        SUCCESS        4            23        0.3        29.99        42.05            35.6            10.86
    163        SUCCESS        4            62        0.3        33.9        42.19            29.9            7.45
    95        SUCCESS        3            13        0.3        24.98        42.21            10.1            8.61
    266        SUCCESS        4            42        0.3        34.35        42.3            53.2            7.15
    277        SUCCESS        4            51        0.3        33.62        42.3            45            7.81
    144        SUCCESS        4            41        0.3        35.62        42.7            31.1            6.37
    232        SUCCESS        4            24        0.3        39.58        42.83            19.9            2.93
    198        SUCCESS        4            38        0.3        33.79        43.01            30.9            8.3
    246        SUCCESS        4            63        0.3        31.41        43.34            25.4            10.73
    222        SUCCESS        4            17        0.3        34.84        43.45            7.8            7.75
    290        SUCCESS        4            48        0.3        38.64        44.36            25.1            5.15
    239        SUCCESS        4            50        0.3        34.95        45.1            56.9            9.14
    242        SUCCESS        3            14        0.3        34.36        45.28            7.8            5.46
    265        SUCCESS        4            26        0.3        35.51        45.52            29.8            9
    250        SUCCESS        4            49        0.3        34.24        45.74            41.2            10.35
    295        SUCCESS        4            45        0.3        34.01        45.85            53.5            10.65
    214        SUCCESS        4            64        0.3        37.55        46.52            37.9            8.07
    299        SUCCESS        4            58        0.3        38.97        46.69            21.9            6.94
    262        SUCCESS        4            63        0.3        43.34        46.8            7.5            3.11
    280        SUCCESS        4            22        0.3        38.17        47.02            37.9            7.97
    219        SUCCESS        4            35        0.3        40.44        47.13            37.5            6.02
    217        SUCCESS        4            27        0.3        36.91        47.24            17            9.3
    218        SUCCESS        4            56        0.3        38.28        47.24            38.4            8.07
    220        SUCCESS        4            47        0.3        35.23        47.61            37.6            11.15
    125        SUCCESS        2            3        0.3        0.3        47.65            33.8            14.2
    254        SUCCESS        4            28        0.3        39.98        47.96            45            7.19
    269        SUCCESS        4            25        0.3        39.08        48.52            48.5            8.5
    289        SUCCESS        4            49        0.3        45.74        48.63            34.7            2.6
    159        SUCCESS        4            54        0.3        38.06        49.3            36.7            10.12
    225        SUCCESS        4            33        0.3        38.17        49.41            20.6            10.12
    212        SUCCESS        4            61        0.3        37.67        49.52            48.7            10.66
    110        SUCCESS        3            13        0.3        42.21        49.73            22.8            3.76
    260        SUCCESS        4            47        0.3        47.61        50.54            30.5            2.63
    263        SUCCESS        4            41        0.3        42.7        50.65            41.2            7.15
    226        SUCCESS        4            56        0.3        47.24        50.76            19.9            3.16
    281        SUCCESS        4            26        0.3        45.52        50.87            34.7            4.81
    291        SUCCESS        4            22        0.3        47.02        51.24            38.7            3.79
    267        SUCCESS        4            63        0.3        46.8        51.38            40.6            4.13
    234        SUCCESS        4            64        0.3        46.52        51.59            38.6            4.57
    261        SUCCESS        4            61        0.3        49.52        52.27            3.6            2.47
    282        SUCCESS        4            38        0.3        43.01        53.33            20.9            9.28
    288        SUCCESS        4            41        0.3        50.65        53.44            25.8            2.51
    271        SUCCESS        4            56        0.3        50.76        53.83            39.6            2.77
    264        SUCCESS        4            27        0.3        47.24        53.94            38.3            6.03
    292        SUCCESS        3            7        0.3        34.56        54.65            50.3            10.05
    235        SUCCESS        4            54        0.3        49.3        56.78            25.6            6.73
    298        SUCCESS        4            33        0.3        49.41        56.99            24.8            6.82
    286        SUCCESS        4            26        0.3        50.87        59.5            18.4            7.77
    268        SUCCESS        4            54        0.3        56.78        60.37            32.3            3.23
    279        SUCCESS        4            47        0.3        50.54        60.48            30.3            8.95
    247        SUCCESS        4            64        0.3        51.59        63.46            18.1            10.68
    296        SUCCESS        4            26        0.3        59.5        63.98            23.3            4.03
makespan: 63.975750000000104
LB: 12.241256491952765
cost: 2086.4697000000047
